,Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Blink Strength,Event Id,Event Date,Event Duration,Band 0.00 - 70.00
107,0.208984375,3,512.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,4257.713748427774
108,0.2109375,3,298.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,10069.182974634816
109,0.212890625,3,-37.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7995.96597839861
110,0.21484375,3,-333.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,9049.750426248502
111,0.216796875,3,-419.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6694.9722847059975
112,0.21875,3,-261.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,10606.617679141207
113,0.220703125,3,19.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,4393.837035353218
114,0.22265625,3,279.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,11343.603765943162
115,0.224609375,3,439.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,7487.041952327791
116,0.2265625,3,504.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,10334.777171982652
117,0.228515625,3,491.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6561.383214593865
118,0.23046875,3,332.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,9600.676609653248
